word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
neodpustím,troji,5,14.932,14.932,5.945,5.945
neodpustím,čtveru,5,14.932,14.932,5.945,5.945
troji,čtveru,8,14.932,14.932,6.623,6.623
nevyhnal,obyvatelů,5,14.932,14.932,5.945,5.945
páliti,spokojující,6,14.902,14.902,6.178,6.178
dobytka,volů,5,14.762,14.762,5.775,5.775
obilé,olej,5,14.762,14.762,5.775,5.775
jitro,večer,6,14.762,14.762,6.038,6.038
páliti,vůně,6,14.709,14.709,5.986,5.986
spokojující,vůně,6,14.709,14.709,5.986,5.986
stříbro,zlato,5,14.639,14.639,5.652,5.652
ohnivou,páliti,6,14.54,14.54,5.816,5.816
mest,obilé,5,14.499,14.499,5.512,5.512
čem,říkáte,5,14.499,14.499,5.512,5.512
paláce,zžíře,7,14.472,14.472,5.971,5.971
stánku,úmluvy,6,14.388,14.388,5.664,5.664
neodpustím,nešlechetnost,5,14.347,14.347,5.36,5.36
nešlechetnost,troji,8,14.347,14.347,6.038,6.038
nešlechetnost,čtveru,8,14.347,14.347,6.038,6.038
dvě,stě,5,14.347,14.347,5.36,5.36
porodila,počala,5,14.277,14.277,5.29,5.29
ohnivou,spokojující,5,14.277,14.277,5.29,5.29
aggea,proroka,5,14.125,14.125,5.138,5.138
jmen,čeledech,13,14.125,14.125,6.516,6.516
dvadcítiletých,výše,12,14.125,14.125,6.401,6.401
dvadcítiletých,jmen,11,14.106,14.106,6.256,6.256
kralovati,seděti,5,14.084,14.084,5.097,5.097
ohnivou,vůně,5,14.084,14.084,5.097,5.097
pošli,zžíře,6,14.009,14.009,5.285,5.285
jmen,výše,12,14.009,14.009,6.285,6.285
dvadcítiletých,čeledech,11,13.999,13.999,6.15,6.15
apoštol,vůli,5,13.987,13.987,5.0,5.0
nátan,prorok,5,13.987,13.987,5.0,5.0
slunce,východu,5,13.968,13.968,4.981,4.981
asvera,vasti,5,13.932,13.932,4.945,4.945
domích,jmen,13,13.932,13.932,6.323,6.323
oltáři,páliti,6,13.902,13.902,5.178,5.178
oltáři,spokojující,6,13.902,13.902,5.178,5.178
výše,čeledech,12,13.902,13.902,6.178,6.178
boji,dvadcítiletých,8,13.887,13.887,5.579,5.579
jmen,rodiny,11,13.884,13.884,6.034,6.034
ovoce,strom,5,13.861,13.861,4.875,4.875
dvadcítiletých,rodiny,10,13.861,13.861,5.875,5.875
jmen,počtu,13,13.844,13.844,6.236,6.236
boji,výše,9,13.835,13.835,5.696,5.696
domích,čeledech,13,13.825,13.825,6.216,6.216
domích,dvadcítiletých,11,13.806,13.806,5.957,5.957
rodiny,výše,11,13.777,13.777,5.927,5.927
rodiny,čeledech,11,13.777,13.777,5.927,5.927
boji,jmen,8,13.772,13.772,5.463,5.463
seděti,stolici,7,13.739,13.739,5.238,5.238
počtu,čeledech,13,13.737,13.737,6.129,6.129
dvadcítiletých,počtu,11,13.719,13.719,5.869,5.869
oltáři,vůně,6,13.709,13.709,4.986,4.986
domích,výše,12,13.709,13.709,5.986,5.986
měsíce,čtvrtého,6,13.684,13.684,4.96,4.96
dvadcátého,měsíce,7,13.684,13.684,5.182,5.182
boji,rodiny,8,13.665,13.665,5.356,5.356
boji,čeledech,8,13.665,13.665,5.356,5.356
počtu,výše,12,13.622,13.622,5.898,5.898
domích,rodiny,11,13.584,13.584,5.734,5.734
domích,počtu,13,13.545,13.545,5.936,5.936
pavel,timoteus,6,13.54,13.54,4.816,4.816
počtu,rodiny,11,13.496,13.496,5.647,5.647
apoštol,pavel,9,13.472,13.472,5.333,5.333
boji,domích,8,13.472,13.472,5.164,5.164
izraelským,synům,5,13.446,13.446,4.459,4.459
kralování,léta,5,13.408,13.408,4.421,4.421
boji,počtu,8,13.385,13.385,5.076,5.076
paláce,pošli,6,13.357,13.357,4.633,4.633
sta,čtyři,7,13.347,13.347,4.845,4.845
jistý,čas,5,13.347,13.347,4.36,4.36
pavel,vůli,5,13.277,13.277,4.29,4.29
ohnivou,oltáři,5,13.277,13.277,4.29,4.29
dcery,sionské,5,13.277,13.277,4.29,4.29
dvadcítiletých,mohli,9,13.269,13.269,5.13,5.13
měsíce,téhož,5,13.199,13.199,4.212,4.212
mohli,výše,10,13.199,13.199,5.212,5.212
jmen,otců,13,13.177,13.177,5.569,5.569
dvadcítiletých,jíti,8,13.177,13.177,4.868,4.868
set,šest,11,13.162,13.162,5.313,5.313
jmen,mohli,9,13.153,13.153,5.014,5.014
jíti,výše,9,13.125,13.125,4.986,4.986
boji,jíti,7,13.11,13.11,4.608,4.608
kralovati,stolici,5,13.084,13.084,4.097,4.097
oheň,sežral,5,13.074,13.074,4.087,4.087
oheň,zžíře,7,13.074,13.074,4.572,4.572
otců,čeledech,13,13.07,13.07,5.462,5.462
jmen,jíti,8,13.062,13.062,4.753,4.753
dvadcítiletých,otců,11,13.051,13.051,5.202,5.202
mohli,rodiny,9,13.047,13.047,4.908,4.908
mohli,čeledech,9,13.047,13.047,4.908,4.908
boji,mohli,7,13.032,13.032,4.53,4.53
léta,měsíce,14,12.968,12.968,5.466,5.466
otců,výše,12,12.955,12.955,5.231,5.231
jíti,rodiny,8,12.955,12.955,4.646,4.646
jíti,čeledech,8,12.955,12.955,4.646,4.646
domích,otců,13,12.877,12.877,5.269,5.269
pět,set,6,12.873,12.873,4.149,4.149
set,čtyřidceti,6,12.873,12.873,4.149,4.149
domích,mohli,9,12.854,12.854,4.715,4.715
set,tisíce,7,12.832,12.832,4.331,4.331
otců,rodiny,11,12.829,12.829,4.98,4.98
