word,connection_count
hospodin,139
bůh,74
syn,44
král,42
země,32
den,27
kristus,26
ježíš,26
pán,23
synů,17
slovo,16
boží,15
všech,14
otců,13
jmen,12
čeledech,12
dvadcítiletých,12
výše,12
domích,12
boji,12
rodiny,12
počtu,12
mohli,12
jíti,12
kněz,12
měsíce,11
oběť,11
duch,11
otec,11
milost,10
set,9
léta,8
všecky,8
milosrdenství,8
páliti,7
spokojující,7
vůně,7
ohnivou,7
oltáři,7
pokoj,7
pavel,6
věky,6
buď,6
věci,6
víra,6
domu,6
apoštol,5
vůli,5
oheň,5
pokolení,5
moudrost,5
dnů,5
svatým,5
láska,5
dobrý,5
mluvil,5
evangelium,5
nebe,5
jméno,5
neodpustím,4
troji,4
čtveru,4
nešlechetnost,4
stolici,4
řkoucí,4
druhého,4
bratří,4
judského,4
zlý,4
šalomoun,4
království,4
zástupů,4
lidu,4
dal,4
učinil,4
aniž,4
lid,4
paláce,3
zžíře,3
kralovati,3
pošli,3
ovoce,3
timoteus,3
šest,3
tisíce,3
duše,3
světlo,3
všechněm,3
svém,3
služebník,3
každý,3
viděl,3
anděl,3
slyšte,3
život,3
tvého,3
david,3
krev,3
srdce,3
ním,3
dům,3
obilé,2
jitro,2
večer,2
říkáte,2
porodila,2
počala,2
aggea,2
proroka,2
seděti,2
nátan,2
asvera,2
vasti,2
čtvrtého,2
dvadcátého,2
synům,2
čas,2
téhož,2
padesáte,2
mnou,2
amen,2
tváři,2
dva,2
jednoho,2
každého,2
obětovati,2
mojžíš,2
živ,2
tuto,2
suché,2
tam,2
obětoval,2
tři,2
vaší,2
královského,2
nade,2
bratr,2
spasitele,2
vyvedl,2
prvního,2
izraelští,2
mrtvých,2
noc,2
smrt,2
šalomouna,2
davida,2
nic,2
naděje,2
jozue,2
dává,2
tváří,2
veliký,2
poslal,2
dnes,2
poušti,2
pravda,2
všecka,2
jeruzalémě,2
pročež,2
budiž,2
němž,2
zdaliž,2
lidem,2
muž,2
člověk,2
potom,2
nevyhnal,1
obyvatelů,1
dobytka,1
volů,1
olej,1
stříbro,1
zlato,1
mest,1
čem,1
stánku,1
úmluvy,1
dvě,1
stě,1
prorok,1
slunce,1
východu,1
strom,1
izraelským,1
kralování,1
sta,1
čtyři,1
jistý,1
dcery,1
sionské,1
sežral,1
pět,1
čtyřidceti,1
tisíců,1
mužů,1
přede,1
miluje,1
věků,1
tma,1
tisíc,1
