word,top_neighbors
neodpustím,troji:14.932; čtveru:14.932; nešlechetnost:14.347; hospodin:9.303
troji,neodpustím:14.932; čtveru:14.932; nešlechetnost:14.347; hospodin:9.303
čtveru,neodpustím:14.932; troji:14.932; nešlechetnost:14.347; hospodin:9.303
nevyhnal,obyvatelů:14.932
obyvatelů,nevyhnal:14.932
páliti,spokojující:14.902; vůně:14.709; ohnivou:14.54; oltáři:13.902; oběť:12.288; kněz:12.037; hospodin:9.303
spokojující,páliti:14.902; vůně:14.709; ohnivou:14.277; oltáři:13.902; oběť:12.288; kněz:11.774; hospodin:9.303
dobytka,volů:14.762
volů,dobytka:14.762
obilé,olej:14.762; mest:14.499
olej,obilé:14.762
jitro,večer:14.762; den:10.866
večer,jitro:14.762; den:10.281
vůně,páliti:14.709; spokojující:14.709; ohnivou:14.084; oltáři:13.709; oběť:11.873; kněz:11.581; hospodin:8.887
stříbro,zlato:14.639
zlato,stříbro:14.639
ohnivou,páliti:14.54; spokojující:14.277; vůně:14.084; oltáři:13.277; oběť:12.118; kněz:11.674; hospodin:9.303
mest,obilé:14.499
čem,říkáte:14.499
říkáte,čem:14.499; hospodin:9.133
paláce,zžíře:14.472; pošli:13.357; oheň:12.422
zžíře,paláce:14.472; pošli:14.009; oheň:13.074
stánku,úmluvy:14.388
úmluvy,stánku:14.388
nešlechetnost,neodpustím:14.347; troji:14.347; čtveru:14.347; hospodin:8.718
dvě,stě:14.347
stě,dvě:14.347
porodila,počala:14.277; syn:9.674
počala,porodila:14.277; syn:9.774
aggea,proroka:14.125; hospodin:9.303
proroka,aggea:14.125; hospodin:7.817
jmen,čeledech:14.125; dvadcítiletých:14.106; výše:14.009; domích:13.932; rodiny:13.884; počtu:13.844; boji:13.772; otců:13.177; mohli:13.153; jíti:13.062
čeledech,jmen:14.125; dvadcítiletých:13.999; výše:13.902; domích:13.825; rodiny:13.777; počtu:13.737; boji:13.665; otců:13.07; mohli:13.047; jíti:12.955
dvadcítiletých,výše:14.125; jmen:14.106; čeledech:13.999; boji:13.887; rodiny:13.861; domích:13.806; počtu:13.719; mohli:13.269; jíti:13.177; otců:13.051
výše,dvadcítiletých:14.125; jmen:14.009; čeledech:13.902; boji:13.835; rodiny:13.777; domích:13.709; počtu:13.622; mohli:13.199; jíti:13.125; otců:12.955
kralovati,seděti:14.084; stolici:13.084; syn:9.411
seděti,kralovati:14.084; stolici:13.739
pošli,zžíře:14.009; paláce:13.357; oheň:11.958
apoštol,vůli:13.987; pavel:13.472; kristus:10.688; ježíš:10.675; boží:10.631
vůli,apoštol:13.987; pavel:13.277; boží:11.283; kristus:10.492; ježíš:10.328
nátan,prorok:13.987; král:10.199
prorok,nátan:13.987
slunce,východu:13.968
východu,slunce:13.968
asvera,vasti:13.932; král:10.684
vasti,asvera:13.932; král:10.684
domích,jmen:13.932; čeledech:13.825; dvadcítiletých:13.806; výše:13.709; rodiny:13.584; počtu:13.545; boji:13.472; otců:12.877; mohli:12.854; jíti:12.762
oltáři,páliti:13.902; spokojující:13.902; vůně:13.709; ohnivou:13.277; oběť:11.651; kněz:11.622; hospodin:8.665
boji,dvadcítiletých:13.887; výše:13.835; jmen:13.772; rodiny:13.665; čeledech:13.665; domích:13.472; počtu:13.385; jíti:13.11; mohli:13.032; otců:12.718
rodiny,jmen:13.884; dvadcítiletých:13.861; výše:13.777; čeledech:13.777; boji:13.665; domích:13.584; počtu:13.496; mohli:13.047; jíti:12.955; otců:12.829
ovoce,strom:13.861; země:9.267; bůh:8.262
strom,ovoce:13.861
počtu,jmen:13.844; čeledech:13.737; dvadcítiletých:13.719; výše:13.622; domích:13.545; rodiny:13.496; boji:13.385; otců:12.79; mohli:12.766; jíti:12.674
stolici,seděti:13.739; kralovati:13.084; král:9.269; hospodin:7.624
měsíce,čtvrtého:13.684; dvadcátého:13.684; téhož:13.199; léta:12.968; řkoucí:12.568; druhého:12.514; den:10.318; slovo:9.906; král:9.021; syn:8.596
čtvrtého,měsíce:13.684; den:10.866
