word1,word2,pair_count,pmi
neodpustím,troji,5,14.932
neodpustím,čtveru,5,14.932
troji,čtveru,8,14.932
nevyhnal,obyvatelů,5,14.932
páliti,spokojující,6,14.902
dobytka,volů,5,14.762
obilé,olej,5,14.762
jitro,večer,6,14.762
páliti,vůně,6,14.709
spokojující,vůně,6,14.709
stříbro,zlato,5,14.639
ohnivou,páliti,6,14.54
mest,obilé,5,14.499
čem,říkáte,5,14.499
paláce,zžíře,7,14.472
stánku,úmluvy,6,14.388
neodpustím,nešlechetnost,5,14.347
nešlechetnost,troji,8,14.347
nešlechetnost,čtveru,8,14.347
dvě,stě,5,14.347
porodila,počala,5,14.277
ohnivou,spokojující,5,14.277
aggea,proroka,5,14.125
jmen,čeledech,13,14.125
dvadcítiletých,výše,12,14.125
dvadcítiletých,jmen,11,14.106
kralovati,seděti,5,14.084
ohnivou,vůně,5,14.084
pošli,zžíře,6,14.009
jmen,výše,12,14.009
dvadcítiletých,čeledech,11,13.999
apoštol,vůli,5,13.987
nátan,prorok,5,13.987
slunce,východu,5,13.968
asvera,vasti,5,13.932
domích,jmen,13,13.932
oltáři,páliti,6,13.902
oltáři,spokojující,6,13.902
výše,čeledech,12,13.902
boji,dvadcítiletých,8,13.887
jmen,rodiny,11,13.884
ovoce,strom,5,13.861
dvadcítiletých,rodiny,10,13.861
jmen,počtu,13,13.844
boji,výše,9,13.835
domích,čeledech,13,13.825
domích,dvadcítiletých,11,13.806
rodiny,výše,11,13.777
rodiny,čeledech,11,13.777
boji,jmen,8,13.772
seděti,stolici,7,13.739
počtu,čeledech,13,13.737
dvadcítiletých,počtu,11,13.719
oltáři,vůně,6,13.709
domích,výše,12,13.709
měsíce,čtvrtého,6,13.684
dvadcátého,měsíce,7,13.684
boji,rodiny,8,13.665
boji,čeledech,8,13.665
počtu,výše,12,13.622
domích,rodiny,11,13.584
domích,počtu,13,13.545
pavel,timoteus,6,13.54
počtu,rodiny,11,13.496
apoštol,pavel,9,13.472
boji,domích,8,13.472
izraelským,synům,5,13.446
kralování,léta,5,13.408
boji,počtu,8,13.385
paláce,pošli,6,13.357
sta,čtyři,7,13.347
jistý,čas,5,13.347
pavel,vůli,5,13.277
ohnivou,oltáři,5,13.277
dcery,sionské,5,13.277
dvadcítiletých,mohli,9,13.269
měsíce,téhož,5,13.199
mohli,výše,10,13.199
jmen,otců,13,13.177
dvadcítiletých,jíti,8,13.177
set,šest,11,13.162
jmen,mohli,9,13.153
jíti,výše,9,13.125
boji,jíti,7,13.11
kralovati,stolici,5,13.084
oheň,sežral,5,13.074
oheň,zžíře,7,13.074
otců,čeledech,13,13.07
jmen,jíti,8,13.062
dvadcítiletých,otců,11,13.051
mohli,rodiny,9,13.047
mohli,čeledech,9,13.047
boji,mohli,7,13.032
léta,měsíce,14,12.968
otců,výše,12,12.955
jíti,rodiny,8,12.955
jíti,čeledech,8,12.955
domích,otců,13,12.877
pět,set,6,12.873
set,čtyřidceti,6,12.873
domích,mohli,9,12.854
set,tisíce,7,12.832
otců,rodiny,11,12.829
otců,počtu,13,12.79
mohli,počtu,9,12.766
tisíce,šest,5,12.762
domích,jíti,8,12.762
boji,otců,8,12.718
jíti,mohli,9,12.684
jíti,počtu,8,12.674
pokolení,tisíců,6,12.622
měsíce,řkoucí,6,12.568
mužů,padesáte,5,12.553
druhého,měsíce,8,12.514
oheň,paláce,7,12.422
mnou,přede,6,12.414
druhého,léta,9,12.408
duše,miluje,5,12.383
věky,věků,5,12.329
světlo,tma,7,12.309
amen,věky,6,12.303
oběť,páliti,7,12.288
oběť,spokojující,7,12.288
set,tisíc,5,12.231
hospodinovy,tváři,5,12.231
knížatům,všechněm,5,12.177
bláznovství,moudrost,5,12.161
dva,tisíce,5,12.145
oběť,ohnivou,8,12.118
jednoho,každého,7,12.11
obětovati,oběť,15,12.107
mohli,otců,9,12.099
rodiny,všech,13,12.097
kněz,páliti,6,12.037
bratří,milí,5,12.02
jíti,otců,8,12.007
dnů,judského,5,11.987
srdci,svém,12,11.984
jmen,všech,11,11.963
oheň,pošli,6,11.958
mojžíš,služebník,6,11.955
dvadcítiletých,všech,10,11.941
milost,nalezla,5,11.932
sedm,set,5,11.932
jmen,synů,12,11.91
jeden,každý,16,11.89
buď,živ,6,11.887
moudrost,umění,10,11.881
oběť,vůně,6,11.873
výše,všech,11,11.856
všech,čeledech,11,11.856
duše,tuto,5,11.853
synů,čeledech,12,11.803
soudu,spravedlnost,5,11.774
kněz,spokojující,5,11.774
oběť,suché,7,11.773
dvadcítiletých,synů,10,11.762
boji,všech,8,11.745
tyto,věci,5,11.719
počtu,všech,12,11.701
rodiny,synů,11,11.677
synů,výše,11,11.677
kněz,ohnivou,6,11.674
sem,tam,6,11.665
domích,všech,11,11.663
oběť,oltáři,9,11.651
obětoval,oběť,7,11.636
kněz,oltáři,9,11.622
set,tři,5,11.61
domích,synů,12,11.61
kněz,vůně,5,11.581
izraelských,synů,11,11.578
boji,synů,8,11.566
počtu,synů,12,11.522
oběť,olejem,5,11.44
slovo,řkoucí,13,11.347
duch,svatého,8,11.325
dříví,oheň,5,11.308
boží,vůli,6,11.283
svatým,všechněm,5,11.177
mohli,všech,9,11.126
vaší,víra,10,11.084
láska,víra,11,11.051
otců,všech,12,11.034
jíti,všech,8,11.034
mohli,synů,9,10.947
milost,pokoj,17,10.932
domu,královského,6,10.91
set,synů,9,10.873
den,čtvrtého,6,10.866
den,jitro,6,10.866
otců,synů,12,10.855
jíti,synů,8,10.855
pokolení,set,5,10.844
bratří,moji,6,10.843
dobrý,viděl,7,10.837
kristus,timoteus,6,10.755
mluvil,mnou,6,10.744
nade,všecky,7,10.711
apoštol,kristus,9,10.688
